median_income,median_rent,total_pop,male_white_20_24,male_white_25_29,male_white_30_34,female_white_20_24,female_white_25_29,female_white_30_34,year,prop_white_20_34,TRACT,FIPS,YEAR,25% Quartile of Appraised Value,75% Quartile of Appraised Value,Count of Appraisals,Mean Appraised Value,Median Appraised Value,zhvi
49318,1077,3483,110,146,69,115,136,134,2013,0.203847258110824,22071010900,22071,2013,285000.0,600000.0,45.0,478500.0,360000.0,140626.58780309712
32868,744,1812,55,46,76,44,57,37,2013,0.173841059602649,22071013000,22071,2013,220000.0,350000.0,30.0,304000.0,265000.0,140626.58780309712
52765,1184,2160,10,10,6,22,12,36,2013,0.044444444444444446,22071002503,22071,2013,178000.0,220000.0,26.0,200000.0,192800.0,140626.58780309712
47006,1233,1737,80,101,11,14,113,101,2013,0.24179620034542315,22071008800,22071,2013,270000.0,415000.0,25.0,349300.0,335000.0,140626.58780309712
82891,1344,1411,7,84,58,44,62,125,2013,0.2693125442948264,22071010800,22071,2013,576000.0,825000.0,34.0,735600.0,697500.0,140626.58780309712
86513,639,2124,44,90,26,23,31,0,2013,0.1007532956685499,22071013302,22071,2013,305000.0,465000.0,59.0,407200.0,375000.0,140626.58780309712
37280,833,4308,0,0,0,0,0,0,2013,0.0,22071000611,22071,2013,85000.0,120000.0,11.0,100700.0,95000.0,140626.58780309712
52768,1048,1442,49,198,62,15,125,50,2013,0.3460471567267684,22071001800,22071,2013,285000.0,390000.0,26.0,322700.0,316900.0,140626.58780309712
35357,935,2789,0,0,38,0,35,37,2013,0.03944065973467192,22071002402,22071,2013,120300.0,167300.0,16.0,147100.0,138500.0,140626.58780309712
45625,1112,2207,6,0,0,0,6,8,2013,0.009062075215224286,22071002504,22071,2013,150000.0,200000.0,30.0,177100.0,185000.0,140626.58780309712
84375,1601,2064,20,53,66,117,107,64,2013,0.20687984496124032,22071005601,22071,2013,360000.0,560000.0,81.0,460100.0,442000.0,140626.58780309712
34817,989,2620,26,92,111,64,83,109,2013,0.1851145038167939,22071006500,22071,2013,255000.0,360000.0,15.0,307600.0,321000.0,140626.58780309712
125164,1861,2618,58,48,85,173,106,71,2013,0.206646294881589,22071011700,22071,2013,659000.0,1215000.0,59.0,994400.0,885000.0,140626.58780309712
101971,1633,3755,80,73,38,113,61,28,2013,0.10466045272969374,22071013301,22071,2013,405000.0,660000.0,118.0,537400.0,477000.0,140626.58780309712
40625,1176,2325,0,39,21,17,37,15,2013,0.05548387096774193,22071003701,22071,2013,127000.0,182500.0,16.0,170400.0,169000.0,140626.58780309712
50404,1048,2890,68,199,161,40,138,241,2013,0.2930795847750865,22071004600,22071,2013,319000.0,600000.0,22.0,455800.0,460000.0,140626.58780309712
74850,1417,2231,47,114,104,49,107,86,2013,0.22725235320484088,22071005602,22071,2013,320000.0,530000.0,107.0,459500.0,455000.0,140626.58780309712
71913,1294,1460,0,112,35,28,135,66,2013,0.25753424657534246,22071005603,22071,2013,307000.0,470000.0,49.0,388300.0,365000.0,140626.58780309712
37837,941,1556,0,5,0,0,0,0,2013,0.003213367609254499,22071001739,22071,2013,160000.0,205000.0,11.0,192100.0,168000.0,140626.58780309712
29178,942,3454,13,51,24,5,84,25,2013,0.05848291835552982,22071003702,22071,2013,182500.0,347500.0,20.0,274800.0,224000.0,140626.58780309712
