median_income,median_rent,total_pop,male_white_20_24,male_white_25_29,male_white_30_34,female_white_20_24,female_white_25_29,female_white_30_34,year,prop_white_20_34,TRACT,FIPS,YEAR,25% Quartile of Appraised Value,75% Quartile of Appraised Value,Count of Appraisals,Mean Appraised Value,Median Appraised Value,zhvi
60150,1125,1833,5,31,42,18,28,45,2014,0.09219858156028368,22071003301,22071,2014,232000.0,353000.0,69.0,296100.0,273000.0,150538.2004081789
26104,712,3311,15,25,0,44,0,0,2014,0.02536997885835095,22071003308,22071,2014,113000.0,169000.0,26.0,144100.0,152000.0,150538.2004081789
40478,1099,2982,37,32,0,20,22,3,2014,0.03822937625754527,22071001702,22071,2014,106000.0,168000.0,18.0,136900.0,137500.0,150538.2004081789
57000,1145,1428,30,30,77,6,147,41,2015,0.23179271708683474,22071001800,22071,2015,347000.0,520000.0,21.0,428700.0,380000.0,164244.46605346404
28250,929,3024,0,7,28,4,24,19,2015,0.027116402116402115,22071002402,22071,2015,103500.0,169000.0,24.0,135300.0,126500.0,164244.46605346404
46361,1082,2575,13,5,11,0,6,12,2015,0.01825242718446602,22071002504,22071,2015,175000.0,251000.0,44.0,216500.0,212500.0,164244.46605346404
25712,878,1603,0,6,32,5,20,15,2015,0.048658764815970056,22071003600,22071,2015,165000.0,305000.0,15.0,223300.0,220000.0,164244.46605346404
79886,1477,2371,27,49,75,72,154,88,2015,0.196119780683256,22071005601,22071,2015,365000.0,615000.0,76.0,502600.0,485500.0,164244.46605346404
37368,994,2761,20,142,128,38,130,122,2015,0.2100688156465049,22071006500,22071,2015,310000.0,450000.0,34.0,375300.0,369500.0,164244.46605346404
127826,1490,2842,103,17,110,112,116,67,2015,0.18472906403940886,22071011700,22071,2015,837500.0,1650000.0,24.0,1284000.0,1178500.0,164244.46605346404
112813,1561,3738,45,128,63,86,86,69,2015,0.1276083467094703,22071013301,22071,2015,472000.0,750000.0,88.0,614100.0,535000.0,164244.46605346404
16789,832,1500,10,0,12,8,28,12,2015,0.04666666666666667,22071013100,22071,2015,256500.0,332500.0,12.0,279600.0,295500.0,164244.46605346404
30165,940,2535,0,23,5,14,30,11,2015,0.03274161735700197,22071000400,22071,2015,160000.0,315000.0,14.0,224800.0,247000.0,164244.46605346404
44911,1095,1672,18,123,73,13,109,68,2015,0.24162679425837322,22071001200,22071,2015,290000.0,430000.0,45.0,380300.0,380000.0,164244.46605346404
13947,720,1429,4,4,0,0,0,9,2015,0.011896431070678797,22071009200,22071,2015,152500.0,206000.0,11.0,187300.0,200000.0,164244.46605346404
64034,1091,2440,62,54,71,59,108,98,2015,0.18524590163934426,22071012800,22071,2015,350000.0,520000.0,39.0,431400.0,402000.0,164244.46605346404
34375,890,1734,14,71,125,21,49,77,2015,0.20588235294117646,22071001100,22071,2015,260000.0,370000.0,27.0,321400.0,335000.0,164244.46605346404
59878,1370,1636,9,177,55,46,121,71,2015,0.2927872860635697,22071011200,22071,2015,325000.0,430000.0,29.0,376100.0,350000.0,164244.46605346404
40159,1037,2010,4,0,0,0,8,0,2015,0.005970149253731343,22071002401,22071,2015,145000.0,208500.0,33.0,174700.0,175000.0,164244.46605346404
65284,1351,4704,0,150,37,14,29,102,2015,0.070578231292517,22071000607,22071,2015,134000.0,193000.0,61.0,180600.0,175000.0,164244.46605346404
22500,875,1474,7,0,7,15,0,4,2015,0.022388059701492536,22071000800,22071,2015,150000.0,230000.0,17.0,209100.0,198000.0,164244.46605346404
29291,688,5027,0,2,0,0,0,0,2015,0.00039785160135269546,22071001723,22071,2015,97000.0,145000.0,27.0,130500.0,130000.0,164244.46605346404
23731,893,4212,0,0,26,0,7,8,2015,0.0097340930674264,22071001724,22071,2015,112000.0,170000.0,23.0,144600.0,159000.0,164244.46605346404
33514,763,4205,46,8,28,12,7,16,2015,0.027824019024970274,22071000615,22071,2015,132000.0,169000.0,22.0,158700.0,165000.0,164244.46605346404
53287,898,3985,23,20,65,13,35,7,2015,0.040903387703889585,22071000616,22071,2015,138000.0,191000.0,40.0,167000.0,163000.0,164244.46605346404
31993,875,4094,44,65,30,20,69,0,2015,0.05569125549584758,22071000617,22071,2015,109500.0,145000.0,14.0,121200.0,121800.0,164244.46605346404
101955,891,4141,32,41,45,18,45,10,2015,0.04612412460758271,22071000618,22071,2015,212000.0,304000.0,58.0,254700.0,244500.0,164244.46605346404
21896,849,2402,4,0,0,5,14,0,2015,0.009575353871773521,22071001743,22071,2015,217000.0,262000.0,14.0,245300.0,257500.0,164244.46605346404
18114,882,4955,0,0,0,0,0,0,2015,0.0,22071001744,22071,2015,153500.0,189000.0,20.0,170000.0,179500.0,164244.46605346404
31894,1002,4504,0,0,0,0,0,0,2015,0.0,22071001746,22071,2015,65000.0,132000.0,11.0,163700.0,76000.0,164244.46605346404
22110,923,3533,0,16,40,0,0,0,2015,0.015850551938862156,22071001745,22071,2015,122000.0,146000.0,30.0,132800.0,131700.0,164244.46605346404
41224,1079,4903,0,12,0,5,0,0,2015,0.0034672649398327553,22071001748,22071,2015,110000.0,152000.0,31.0,130100.0,134000.0,164244.46605346404
39722,1066,3100,46,29,21,17,22,23,2015,0.05096774193548387,22071001702,22071,2015,115000.0,162000.0,28.0,136600.0,133000.0,164244.46605346404
49837,1060,1790,0,63,19,20,237,127,2015,0.26033519553072626,22071014200,22071,2015,313000.0,525000.0,37.0,426800.0,440000.0,164244.46605346404
36042,947,1588,10,53,57,37,26,131,2015,0.1977329974811083,22071014400,22071,2015,323000.0,655000.0,25.0,475000.0,385000.0,164244.46605346404
49789,922,2872,85,25,76,9,37,81,2015,0.108983286908078,22071000100,22071,2015,225000.0,310000.0,30.0,279300.0,270000.0,164244.46605346404
38073,1245,2072,13,0,7,8,0,8,2015,0.017374517374517374,22071001701,22071,2015,135000.0,165000.0,15.0,153200.0,155000.0,164244.46605346404
60114,1155,1878,8,43,58,11,51,73,2015,0.1299254526091587,22071003301,22071,2015,261000.0,380000.0,95.0,334400.0,331000.0,164244.46605346404
26297,765,3645,0,38,6,18,0,6,2015,0.018655692729766804,22071003308,22071,2015,138000.0,185000.0,26.0,163200.0,160000.0,164244.46605346404
23143,777,1747,2,40,23,12,32,26,2015,0.07727532913566114,22071010000,22071,2015,325000.0,975000.0,11.0,599100.0,385000.0,164244.46605346404
68558,1108,1688,43,201,47,39,79,74,2015,0.28613744075829384,22071010700,22071,2015,485000.0,650000.0,38.0,621800.0,552500.0,164244.46605346404
151696,1468,1504,0,72,35,14,29,71,2015,0.14694148936170212,22071011600,22071,2015,576000.0,1300000.0,27.0,971900.0,1075000.0,164244.46605346404
26620,935,2590,22,111,24,84,57,53,2015,0.13552123552123552,22071013200,22071,2015,203000.0,390000.0,30.0,289300.0,242500.0,164244.46605346404
54038,1047,3476,0,26,34,10,34,0,2015,0.02991944764096663,22071003302,22071,2015,191000.0,335000.0,68.0,268000.0,255000.0,164244.46605346404
35268,1203,2143,51,29,22,7,0,29,2015,0.06439570695286981,22071000605,22071,2015,76000.0,117000.0,17.0,101800.0,112000.0,164244.46605346404
161250,625,1822,19,11,0,12,11,30,2015,0.045554335894621295,22071000612,22071,2015,422000.0,651000.0,37.0,560700.0,486500.0,164244.46605346404
33646,836,1506,0,0,0,0,0,0,2015,0.0,22071003307,22071,2015,125000.0,216000.0,12.0,173000.0,181000.0,164244.46605346404
20714,777,1187,0,26,0,0,15,0,2015,0.03454085930918281,22071003500,22071,2015,210000.0,375000.0,14.0,324500.0,255000.0,164244.46605346404
54531,979,1525,3,38,61,25,43,50,2015,0.14426229508196722,22071004100,22071,2015,365000.0,715000.0,29.0,559100.0,594000.0,164244.46605346404
20882,884,1693,25,26,41,14,9,26,2015,0.08328411104548139,22071006300,22071,2015,230000.0,375000.0,13.0,313100.0,323000.0,164244.46605346404
61250,1070,1201,31,91,105,59,83,75,2015,0.36969192339716905,22071008300,22071,2015,393000.0,675000.0,15.0,622200.0,510000.0,164244.46605346404
55469,1009,3084,78,132,90,78,177,30,2015,0.18968871595330739,22071009900,22071,2015,547000.0,890000.0,26.0,781200.0,640000.0,164244.46605346404
59661,1133,3592,75,183,70,83,132,149,2015,0.19265033407572382,22071010900,22071,2015,390000.0,745000.0,43.0,610900.0,460000.0,164244.46605346404
38250,955,1778,33,43,146,46,69,30,2015,0.2064116985376828,22071013000,22071,2015,234000.0,349000.0,21.0,313900.0,270000.0,164244.46605346404
48421,1118,2272,4,33,19,12,16,60,2015,0.06338028169014084,22071002503,22071,2015,165000.0,244000.0,40.0,213900.0,192000.0,164244.46605346404
37773,1143,2186,4,32,16,15,13,43,2015,0.05626715462031107,22071003701,22071,2015,205000.0,250000.0,15.0,235500.0,225000.0,164244.46605346404
51458,1073,2859,67,143,174,41,182,181,2015,0.2756208464498076,22071004600,22071,2015,357500.0,582500.0,24.0,512400.0,446000.0,164244.46605346404
15466,692,1625,6,23,174,0,11,4,2015,0.13415384615384615,22071004900,22071,2015,130000.0,305000.0,11.0,227400.0,165000.0,164244.46605346404
95766,1561,2782,64,118,137,66,141,114,2015,0.23005032350826743,22071005602,22071,2015,410500.0,704000.0,88.0,557500.0,533000.0,164244.46605346404
71833,1161,1496,0,125,38,41,113,109,2015,0.28475935828877,22071005603,22071,2015,370000.0,580000.0,50.0,476600.0,460000.0,164244.46605346404
37905,882,1694,0,9,0,0,0,0,2015,0.005312868949232586,22071001739,22071,2015,182000.0,205000.0,17.0,201600.0,185000.0,164244.46605346404
29792,1034,2100,54,46,6,13,26,26,2015,0.08142857142857143,22071003303,22071,2015,135000.0,184000.0,14.0,163900.0,170000.0,164244.46605346404
32298,926,2075,11,19,38,3,13,22,2015,0.05108433734939759,22071003304,22071,2015,154000.0,247500.0,16.0,208600.0,170300.0,164244.46605346404
29657,895,3367,45,162,56,4,96,20,2015,0.11375111375111376,22071003702,22071,2015,235000.0,465000.0,51.0,374300.0,315000.0,164244.46605346404
39573,1072,1890,46,104,115,49,121,69,2015,0.26666666666666666,22071005400,22071,2015,340000.0,457000.0,15.0,396900.0,390000.0,164244.46605346404
60662,1213,2926,34,168,73,81,166,127,2015,0.22180451127819548,22071005500,22071,2015,290000.0,420000.0,65.0,351600.0,337000.0,164244.46605346404
94375,1348,1623,23,154,57,17,136,83,2015,0.2895871842267406,22071005604,22071,2015,377000.0,575000.0,47.0,488300.0,470000.0,164244.46605346404
38646,907,1956,14,51,118,19,44,108,2015,0.18098159509202455,22071009100,22071,2015,210000.0,650000.0,15.0,458800.0,467000.0,164244.46605346404
56104,1308,1994,27,55,87,44,90,182,2015,0.2432296890672016,22071011400,22071,2015,500000.0,828000.0,39.0,680700.0,610000.0,164244.46605346404
44063,787,1364,3,14,111,10,126,90,2015,0.2595307917888563,22071002600,22071,2015,440000.0,668000.0,14.0,558400.0,488800.0,164244.46605346404
23802,891,1921,0,0,8,2,4,3,2015,0.008849557522123894,22071001402,22071,2015,120000.0,190000.0,11.0,156500.0,148000.0,164244.46605346404
54076,1221,3286,336,65,33,410,144,42,2015,0.3134510042604991,22071012101,22071,2015,475000.0,613800.0,27.0,596300.0,520000.0,164244.46605346404
33613,782,4681,0,0,0,0,0,0,2015,0.0,22071001740,22071,2015,145000.0,185000.0,42.0,172400.0,167500.0,164244.46605346404
24475,978,1383,6,29,24,4,56,44,2015,0.11785972523499638,22071005000,22071,2015,267500.0,432000.0,16.0,347900.0,318500.0,164244.46605346404
37083,1041,2010,5,11,5,0,0,10,2015,0.015422885572139304,22071002501,22071,2015,165000.0,215000.0,31.0,190000.0,185000.0,164244.46605346404
21829,884,1580,0,14,43,7,7,10,2015,0.05126582278481013,22071002700,22071,2015,145000.0,280000.0,11.0,220400.0,248000.0,164244.46605346404
39330,1023,2370,37,163,115,22,102,125,2015,0.2379746835443038,22071006400,22071,2015,268000.0,430000.0,31.0,358600.0,380000.0,164244.46605346404
26798,865,4583,0,14,5,8,12,26,2015,0.014182849661793584,22071000604,22071,2015,85500.0,134500.0,12.0,117700.0,105000.0,164244.46605346404
29574,968,2209,0,0,27,0,0,0,2015,0.012222725215029425,22071002502,22071,2015,139000.0,170000.0,11.0,156300.0,159000.0,164244.46605346404
43214,1031,1527,14,59,64,11,95,103,2015,0.2265880812049771,22071009700,22071,2015,390000.0,542000.0,29.0,469100.0,455000.0,164244.46605346404
25045,1083,3293,28,30,26,12,12,37,2015,0.044032796841785606,22071010300,22071,2015,190000.0,300000.0,19.0,243400.0,225000.0,164244.46605346404
83942,1468,1873,106,116,37,166,88,45,2015,0.2979177789642285,22071011900,22071,2015,406000.0,520000.0,20.0,514900.0,467500.0,164244.46605346404
56141,1167,2027,12,186,91,36,79,76,2015,0.23680315737543167,22071012300,22071,2015,305000.0,390000.0,26.0,353900.0,321000.0,164244.46605346404
155714,1793,1880,52,0,17,30,17,29,2015,0.07712765957446809,22071007604,22071,2015,450000.0,700000.0,59.0,628300.0,570000.0,164244.46605346404
44960,872,1535,8,58,153,28,119,59,2015,0.2768729641693811,22071008200,22071,2015,548500.0,750000.0,12.0,618800.0,675000.0,164244.46605346404
54000,1178,1832,94,145,63,42,164,110,2015,0.3373362445414847,22071008800,22071,2015,306000.0,463000.0,25.0,438600.0,375000.0,164244.46605346404
30688,915,1889,23,68,36,40,55,10,2015,0.1228163049232398,22071010200,22071,2015,325000.0,418000.0,22.0,364900.0,366000.0,164244.46605346404
100878,1320,1418,2,47,68,27,47,100,2015,0.20521861777150915,22071010800,22071,2015,570000.0,950000.0,26.0,768200.0,725000.0,164244.46605346404
95795,549,2168,15,98,15,20,36,14,2015,0.09132841328413284,22071013302,22071,2015,355000.0,455000.0,44.0,407700.0,376500.0,164244.46605346404
61719,780,1730,37,23,42,18,33,35,2015,0.10867052023121387,22071012400,22071,2015,267000.0,580000.0,31.0,449200.0,425000.0,164244.46605346404
25964,699,1200,10,25,8,22,37,15,2015,0.0975,22071001900,22071,2015,130000.0,233000.0,19.0,181900.0,145000.0,164244.46605346404
21991,749,1195,2,48,12,12,40,5,2015,0.099581589958159,22071003400,22071,2015,250000.0,405500.0,12.0,324100.0,270000.0,164244.46605346404
17212,857,1227,4,11,13,0,4,5,2015,0.03015484922575387,22071004401,22071,2015,147500.0,260000.0,12.0,223200.0,230000.0,164244.46605346404
29853,910,2230,6,35,24,41,37,82,2015,0.10089686098654709,22071004500,22071,2015,265000.0,426000.0,34.0,374000.0,345000.0,164244.46605346404
101156,1146,1884,29,123,24,21,75,25,2015,0.15764331210191082,22071009000,22071,2015,810000.0,1700000.0,27.0,1338600.0,995000.0,164244.46605346404
57083,986,1551,0,115,29,43,73,74,2015,0.21534493874919408,22071009600,22071,2015,340000.0,534000.0,30.0,437000.0,453500.0,164244.46605346404
60179,1248,1940,35,134,119,42,172,54,2015,0.2865979381443299,22071010100,22071,2015,452000.0,825000.0,25.0,659800.0,610000.0,164244.46605346404
47000,1075,1322,20,52,22,5,91,67,2015,0.19440242057488655,22071010600,22071,2015,283000.0,610500.0,24.0,459300.0,367500.0,164244.46605346404
105724,1468,1422,32,53,70,43,85,67,2015,0.24613220815752462,22071011500,22071,2015,730000.0,1242500.0,24.0,993300.0,886000.0,164244.46605346404
58182,1266,4281,445,52,13,600,34,0,2015,0.26722728334501283,22071012102,22071,2015,740000.0,1400000.0,15.0,1111900.0,797000.0,164244.46605346404
43333,968,1678,32,102,60,63,69,21,2015,0.2067938021454112,22071012500,22071,2015,260000.0,745000.0,20.0,511700.0,412500.0,164244.46605346404
55125,1095,2171,154,66,92,106,193,73,2015,0.3150621833256564,22071012700,22071,2015,315000.0,525000.0,29.0,445200.0,382000.0,164244.46605346404
41172,946,1548,33,14,31,35,85,81,2015,0.18023255813953487,22071012900,22071,2015,327000.0,540000.0,14.0,406800.0,383500.0,164244.46605346404
59849,1128,4811,27,37,37,25,0,13,2015,0.0288921222199127,22071000606,22071,2015,138000.0,172000.0,51.0,157200.0,160000.0,164244.46605346404
24943,842,1616,2,0,0,0,4,0,2015,0.0037128712871287127,22071000702,22071,2015,130000.0,260000.0,19.0,218200.0,235000.0,164244.46605346404
20707,840,1758,8,69,39,0,71,23,2015,0.11945392491467577,22071001301,22071,2015,263500.0,365000.0,25.0,303400.0,280000.0,164244.46605346404
36362,951,1578,8,27,39,0,90,26,2015,0.12040557667934093,22071011100,22071,2015,312000.0,449000.0,25.0,381600.0,400000.0,164244.46605346404
88958,1382,1509,33,13,52,82,37,59,2015,0.18290258449304175,22071012000,22071,2015,617500.0,972000.0,24.0,861100.0,780000.0,164244.46605346404
100091,1550,2354,38,115,69,85,135,94,2015,0.22769753610875107,22071012200,22071,2015,357000.0,485000.0,54.0,465800.0,401500.0,164244.46605346404
53646,1012,1853,180,98,55,121,103,85,2015,0.34646519158121963,22071012600,22071,2015,435000.0,620000.0,26.0,565900.0,543000.0,164244.46605346404
60644,932,3074,7,56,133,7,80,117,2016,0.13012361743656473,22071000100,22071,2016,300000.0,402000.0,45.0,359100.0,340000.0,182126.4048870087
37500,1167,2186,7,0,0,7,0,6,2016,0.009149130832570906,22071001701,22071,2016,112000.0,165000.0,14.0,139900.0,158500.0,182126.4048870087
63854,1143,2075,8,34,66,12,47,81,2016,0.11951807228915663,22071003301,22071,2016,278000.0,418000.0,98.0,364200.0,351000.0,182126.4048870087
26694,787,3534,7,30,7,13,0,7,2016,0.018109790605546124,22071003308,22071,2016,145000.0,201000.0,20.0,174900.0,178500.0,182126.4048870087
37390,1030,3170,33,30,20,29,34,17,2016,0.05141955835962145,22071001702,22071,2016,136000.0,185000.0,25.0,160900.0,157000.0,182126.4048870087
118295,1213,2080,25,226,57,4,99,61,2016,0.22692307692307692,22071009000,22071,2016,875000.0,1290000.0,26.0,1135100.0,1021000.0,182126.4048870087
60208,1010,1470,0,84,41,33,69,51,2016,0.1891156462585034,22071009600,22071,2016,383500.0,585000.0,48.0,493300.0,487500.0,182126.4048870087
62614,1270,1829,35,115,139,16,118,54,2016,0.26079825041006016,22071010100,22071,2016,470000.0,913000.0,22.0,675500.0,615000.0,182126.4048870087
55125,1112,1335,25,44,16,26,81,70,2016,0.19625468164794008,22071010600,22071,2016,429500.0,672500.0,24.0,560100.0,546300.0,182126.4048870087
91250,1498,1305,25,49,34,20,50,52,2016,0.17624521072796934,22071011500,22071,2016,662500.0,1037500.0,32.0,867100.0,821500.0,182126.4048870087
55972,1250,4163,425,48,17,553,46,0,2016,0.2615901993754504,22071012102,22071,2016,540000.0,960000.0,11.0,755900.0,688000.0,182126.4048870087
46750,997,1657,22,98,46,66,56,21,2016,0.18648159324079663,22071012500,22071,2016,357500.0,637500.0,28.0,520500.0,412500.0,182126.4048870087
51373,1112,2236,162,66,116,103,210,65,2016,0.3228980322003578,22071012700,22071,2016,355000.0,522000.0,22.0,435500.0,424500.0,182126.4048870087
55530,1002,1623,20,14,28,29,85,65,2016,0.14849044978434997,22071012900,22071,2016,315000.0,500000.0,21.0,409200.0,383000.0,182126.4048870087
64132,1140,4871,22,32,43,21,0,57,2016,0.035926914391295424,22071000606,22071,2016,143800.0,192500.0,56.0,163900.0,164000.0,182126.4048870087
27708,827,1765,8,0,6,0,4,0,2016,0.010198300283286119,22071000702,22071,2016,230000.0,316000.0,14.0,277500.0,263500.0,182126.4048870087
25563,788,1846,0,75,58,5,77,45,2016,0.14084507042253522,22071001301,22071,2016,230000.0,385000.0,23.0,318700.0,334000.0,182126.4048870087
38773,979,1644,9,45,71,4,112,39,2016,0.170316301703163,22071011100,22071,2016,370000.0,485000.0,21.0,413000.0,425000.0,182126.4048870087
86875,1321,1470,55,9,45,59,55,60,2016,0.19251700680272107,22071012000,22071,2016,590000.0,1200000.0,23.0,938400.0,655000.0,182126.4048870087
93036,1527,2268,47,131,90,69,174,98,2016,0.26851851851851855,22071012200,22071,2016,372000.0,590000.0,64.0,512100.0,474500.0,182126.4048870087
54688,982,1725,158,92,70,94,97,62,2016,0.33217391304347826,22071012600,22071,2016,410000.0,630000.0,23.0,555700.0,605000.0,182126.4048870087
25363,865,2025,0,0,0,0,11,0,2016,0.005432098765432099,22071002300,22071,2016,80000.0,155000.0,11.0,127700.0,110000.0,182126.4048870087
32297,1065,2134,3,0,0,0,0,0,2016,0.0014058106841611997,22071002401,22071,2016,164000.0,207000.0,15.0,193900.0,183000.0,182126.4048870087
66985,1347,4910,0,149,17,17,55,101,2016,0.06904276985743381,22071000607,22071,2016,146000.0,216000.0,63.0,189800.0,170000.0,182126.4048870087
27583,858,1593,5,4,6,14,0,6,2016,0.02197112366603892,22071000800,22071,2016,180000.0,302000.0,19.0,257700.0,249900.0,182126.4048870087
30750,678,4743,0,2,0,0,0,0,2016,0.000421674045962471,22071001723,22071,2016,126000.0,145000.0,33.0,133100.0,135000.0,182126.4048870087
23216,875,4377,0,0,0,0,4,5,2016,0.00205620287868403,22071001724,22071,2016,125000.0,175000.0,37.0,150500.0,160000.0,182126.4048870087
38750,1172,2074,3,29,20,12,22,45,2016,0.06316297010607522,22071003701,22071,2016,190000.0,300000.0,17.0,251000.0,240000.0,182126.4048870087
68780,1103,1211,18,87,59,4,50,8,2016,0.18662262592898432,22071003800,22071,2016,897500.0,1400000.0,12.0,1139500.0,1212500.0,182126.4048870087
32862,936,1203,12,12,25,6,49,49,2016,0.12718204488778054,22071003900,22071,2016,269000.0,624000.0,15.0,434600.0,405000.0,182126.4048870087
50550,1189,2832,68,135,174,27,169,168,2016,0.2616525423728814,22071004600,22071,2016,354500.0,678000.0,32.0,522100.0,495000.0,182126.4048870087
11779,635,1287,5,25,17,2,18,5,2016,0.055944055944055944,22071004900,22071,2016,195000.0,365000.0,15.0,277500.0,281000.0,182126.4048870087
103400,1553,2650,58,116,119,67,146,102,2016,0.22943396226415094,22071005602,22071,2016,407000.0,705000.0,105.0,578300.0,588000.0,182126.4048870087
71435,1073,1450,0,63,57,40,97,106,2016,0.2503448275862069,22071005603,22071,2016,346500.0,563000.0,61.0,453100.0,412000.0,182126.4048870087
43000,842,1862,0,10,0,0,0,0,2016,0.0053705692803437165,22071001739,22071,2016,161000.0,219000.0,23.0,189100.0,175000.0,182126.4048870087
37232,1064,2357,72,121,21,25,22,28,2016,0.12261349172677131,22071003303,22071,2016,138000.0,210000.0,27.0,181900.0,165000.0,182126.4048870087
33397,929,2397,10,19,40,3,17,21,2016,0.0458906967042136,22071003304,22071,2016,146000.0,250000.0,21.0,197400.0,190000.0,182126.4048870087
42270,898,3538,48,129,79,13,68,114,2016,0.12747314867156587,22071003702,22071,2016,280000.0,410000.0,41.0,381200.0,315000.0,182126.4048870087
64153,1222,2914,29,214,93,62,154,132,2016,0.23472889498970487,22071005500,22071,2016,324000.0,452000.0,75.0,390000.0,385000.0,182126.4048870087
92286,1439,1627,21,93,86,16,88,116,2016,0.2581438229870928,22071005604,22071,2016,381500.0,683500.0,52.0,532400.0,515000.0,182126.4048870087
40944,886,1663,15,75,133,22,60,120,2016,0.2555622369212267,22071009100,22071,2016,207000.0,385000.0,21.0,312600.0,305000.0,182126.4048870087
61225,1413,1993,31,76,86,29,87,136,2016,0.22328148519819369,22071011400,22071,2016,496500.0,745000.0,40.0,659400.0,660000.0,182126.4048870087
37969,765,1561,0,14,105,11,114,82,2016,0.2088404868673927,22071002600,22071,2016,390000.0,605000.0,15.0,505100.0,420000.0,182126.4048870087
68304,1205,1111,24,66,60,34,56,26,2016,0.23942394239423942,22071007800,22071,2016,500000.0,857000.0,15.0,684200.0,620000.0,182126.4048870087
55435,1417,3334,317,66,30,369,141,52,2016,0.2924415116976605,22071012101,22071,2016,450000.0,620000.0,29.0,637000.0,500000.0,182126.4048870087
31013,797,4889,0,0,0,0,0,0,2016,0.0,22071001740,22071,2016,152000.0,200000.0,34.0,174100.0,170000.0,182126.4048870087
28152,999,1250,5,27,39,5,43,50,2016,0.1352,22071005000,22071,2016,322500.0,492500.0,12.0,417900.0,436500.0,182126.4048870087
40202,1145,2236,3,11,5,0,0,9,2016,0.012522361359570662,22071002501,22071,2016,165000.0,215000.0,27.0,202600.0,180000.0,182126.4048870087
42000,1064,2304,30,166,150,11,130,115,2016,0.2612847222222222,22071006400,22071,2016,290000.0,461000.0,39.0,374600.0,375000.0,182126.4048870087
31497,830,2828,5,5,0,0,0,0,2016,0.003536067892503536,22071000602,22071,2016,78000.0,105000.0,12.0,95100.0,87500.0,182126.4048870087
34231,860,4430,0,14,6,15,9,37,2016,0.018284424379232507,22071000604,22071,2016,82500.0,135000.0,19.0,120500.0,113000.0,182126.4048870087
27596,884,3597,7,3,0,0,4,0,2016,0.003892132332499305,22071001737,22071,2016,107000.0,154500.0,12.0,130100.0,128000.0,182126.4048870087
31514,928,2423,0,0,28,0,16,0,2016,0.018159306644655385,22071002502,22071,2016,140000.0,195000.0,23.0,173900.0,162000.0,182126.4048870087
48227,1054,1464,2,56,57,14,92,97,2016,0.21721311475409835,22071009700,22071,2016,365000.0,584000.0,39.0,488500.0,395000.0,182126.4048870087
27255,1059,3357,28,45,23,39,36,49,2016,0.0655347036044087,22071010300,22071,2016,245000.0,395000.0,22.0,327800.0,305000.0,182126.4048870087
76806,1533,1687,78,99,52,192,105,74,2016,0.35566093657379966,22071011900,22071,2016,452000.0,694000.0,38.0,596900.0,500000.0,182126.4048870087
49688,1082,2093,2,151,95,35,65,81,2016,0.20496894409937888,22071012300,22071,2016,290000.0,475000.0,23.0,378100.0,350000.0,182126.4048870087
61406,1203,1775,64,139,83,56,141,129,2016,0.3447887323943662,22071008800,22071,2016,308000.0,527500.0,20.0,425100.0,391500.0,182126.4048870087
34875,984,1947,4,82,52,12,60,10,2016,0.11299435028248588,22071010200,22071,2016,277500.0,414000.0,16.0,347800.0,322500.0,182126.4048870087
102596,1295,1424,2,79,69,11,42,95,2016,0.20926966292134833,22071010800,22071,2016,520000.0,755000.0,22.0,719600.0,619000.0,182126.4048870087
98854,603,2098,11,71,23,36,51,19,2016,0.1005719733079123,22071013302,22071,2016,350000.0,560000.0,71.0,472200.0,415000.0,182126.4048870087
37654,789,4697,0,0,3,0,0,0,2016,0.0006387055567383436,22071000611,22071,2016,84000.0,114000.0,14.0,98200.0,93500.0,182126.4048870087
54770,1127,1568,31,21,101,6,133,64,2016,0.22704081632653061,22071001800,22071,2016,385000.0,485000.0,26.0,474200.0,437500.0,182126.4048870087
26860,938,3201,0,7,27,3,22,19,2016,0.02436738519212746,22071002402,22071,2016,127000.0,162000.0,25.0,159000.0,137000.0,182126.4048870087
54167,1030,2702,13,8,18,5,16,27,2016,0.032198371576609916,22071002504,22071,2016,185000.0,283000.0,38.0,235900.0,230000.0,182126.4048870087
25616,847,1551,0,3,33,5,14,16,2016,0.04577691811734365,22071003600,22071,2016,236500.0,332500.0,16.0,288900.0,302500.0,182126.4048870087
88611,1458,2316,19,55,90,70,122,111,2016,0.20164075993091538,22071005601,22071,2016,413500.0,660000.0,72.0,548300.0,545000.0,182126.4048870087
40040,1032,2709,29,159,136,27,139,125,2016,0.22702104097452935,22071006500,22071,2016,309500.0,373500.0,24.0,364100.0,350000.0,182126.4048870087
130326,1430,2960,101,27,133,117,142,96,2016,0.20810810810810812,22071011700,22071,2016,810000.0,1350000.0,33.0,1133500.0,1035000.0,182126.4048870087
120189,1582,3872,70,107,49,55,111,53,2016,0.11492768595041322,22071013301,22071,2016,470000.0,710000.0,86.0,600700.0,558000.0,182126.4048870087
34017,764,4635,40,13,50,10,27,18,2016,0.03408845738942826,22071000615,22071,2016,129000.0,165000.0,19.0,146200.0,151000.0,182126.4048870087
51337,886,4370,21,20,67,16,28,11,2016,0.03729977116704806,22071000616,22071,2016,135000.0,235000.0,50.0,187200.0,176500.0,182126.4048870087
31046,881,4707,26,61,34,23,71,18,2016,0.04950074357340132,22071000617,22071,2016,100000.0,135000.0,15.0,115100.0,112000.0,182126.4048870087
